% Mars 0 Long, 0 Lat, 9 HR local time; Ls = 104.4 (northern summer)
% Earth Julian Date 2456736.167881944
% Source Mars Climate Database http://www-mars.lmd.jussieu.fr/mcd_python/
% Conversions: Altitude m to km; pressure from Pa to mb (100 Pa=mb)
% Altitude (km)        Pressure (mb)   Temperature (K)
    0.0020000000       6.4058000       211.14500
      0.29605900       6.2311400       209.22600
      0.59011800       6.0628700       210.96800
      0.88417600       5.8998800       211.70900
       1.1782400       5.7417000       211.76100
       1.4722900       5.5877500       211.77500
       1.7663500       5.4378900       211.65400
       2.0604100       5.2920600       211.53300
       2.3544700       5.1499900       211.36300
       2.6485300       5.0110900       210.95500
       2.9425900       4.8759300       210.54600
       3.2366500       4.7444200       210.13800
       3.5307100       4.6164600       209.73000
       3.8247600       4.4919500       209.32100
       4.1188200       4.3696200       208.75600
       4.4128800       4.2502000       208.13100
       4.7069400       4.1340400       207.50700
       5.0010000       4.0210600       206.88200
       5.2950600       3.9111600       206.25800
       5.5891200       3.8042700       205.63300
       5.8831800       3.6987100       205.04400
       6.1772400       3.5958500       204.46100
       6.4712900       3.4958500       203.87800
       6.7653500       3.3986300       203.29400
       7.0594100       3.3041100       202.71100
       7.3534700       3.2122300       202.12800
       7.6475300       3.1223600       201.50800
       7.9415900       3.0335500       200.78700
       8.2356500       2.9472700       200.06600
       8.5297100       2.8634500       199.34500
       8.8237600       2.7820100       198.62300
       9.1178200       2.7028900       197.90200
       9.4118800       2.6260100       197.18100
       9.7059400       2.5513200       196.46000
       10.000000       2.4778100       195.74700
       10.295700       2.4048900       195.04100
       11.766200       2.0729100       191.52600
       13.236800       1.7837300       189.10000
       14.707300       1.5323800       187.72000
       16.177800       1.3151000       186.39700
       17.648400       1.1275100       185.13000
       19.118900      0.96618400       183.96700
       20.589400      0.82684600       183.06900
       22.059900      0.70760300       182.17200
       23.530500      0.60427300       180.60800
       25.001000      0.51580100       178.90500
       26.471500      0.43997500       177.13900
       27.942100      0.37396100       175.05800
       29.412600      0.31785100       172.97700
       30.883100      0.26960000       170.67400
       32.353600      0.22771800       167.92200
       33.824200      0.19234200       165.17100
       35.294700      0.16193500       162.25500
       36.765200      0.13559000       159.05900
       38.235800      0.11353100       155.86400
       39.706300     0.094693900       152.61900
       41.176800     0.078389800       149.27600
       42.647400     0.064892900       145.93400
       44.117900     0.053571200       143.04600
       45.588400     0.043911000       141.32800
       47.058900     0.035992800       139.60900
       48.529500     0.029493300       138.32300
       50.000000     0.024132600       139.06000
       58.825100    0.0075407600       152.31500
       66.177900    0.0030998700       157.85900
       73.530800    0.0012377400       143.05700
       80.883700   0.00045196700       130.12200
       88.236600   0.00015377600       124.17200
       95.589500   5.0624700e-05       120.90100
       102.94200   1.5938500e-05       111.59600
       110.29500   4.3534400e-06       97.439800
       117.64800   1.3265700e-06       129.97500
       125.00100   5.6525900e-07       176.83700
       132.35400   2.9146800e-07       209.82100
       139.70700   1.6447200e-07       231.25000
       147.06000   9.7428900e-08       245.35500
       154.41300   5.9875500e-08       253.74000
       161.76500   3.7836900e-08       258.65000
       169.11800   2.4253200e-08       262.17800
       176.47100   1.5885300e-08       264.09300
       183.82400   1.0599800e-08       265.36000
       191.17700   7.1565000e-09       266.21900
       198.53000   4.9705300e-09       266.67900
       205.88300   3.4722200e-09       267.05800
       213.23600   2.5087800e-09       267.25100
       220.58800   1.8210600e-09       267.41800
       227.94100   1.3597200e-09       267.51600
       235.29400   1.0279300e-09       267.58500
       242.64700   7.8292800e-10       267.64600
       250.00000   6.1531200e-10       267.67400
